combination,groups,target,size,rel_imm_thr,abs_imm_thr,index,ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
0,1,"high SEP, low edu",0.45,1.0,0.45,0,1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
3,1,"high SEP, low edu",0.45,0.92,0.42,3,1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
5,1,"high SEP, low edu",0.45,1.0,0.45,5,1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887251,1.0028851064945985
7,1,"high SEP, low edu",0.45,0.92,0.42,7,1.00700174878304,1.28537406383395,1.038376092082415,40-60,60-80,20-40,1.0017264905886567,1.0027095104867871
10,1,"high SEP, low edu",0.45,0.78,0.36,10,1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
12,1,"high SEP, low edu",0.45,0.98,0.44,12,1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734255,1.0028418646228316
13,1,"high SEP, low edu",0.45,0.98,0.44,13,1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
16,1,"high SEP, low edu",0.45,0.92,0.42,16,1.0070313042702077,1.0894790417871354,0.91301548013798,40-60,0-20,0-20,1.002584558218563,1.0026823846211577
17,1,"high SEP, low edu",0.45,0.93,0.42,17,1.0061898317594495,1.205086419164915,1.180634046052503,0-20,40-60,60-80,1.0017973893319172,1.002869339450268
21,1,"high SEP, low edu",0.45,0.89,0.41,21,1.0065721900275173,1.010008847634819,0.8633034408273852,20-40,0-20,0-20,1.0020572909302567,1.0026653208379652
22,1,"high SEP, low edu",0.45,0.99,0.45,22,1.006350685926357,1.139546066252017,1.0956180776946804,0-20,20-40,40-60,1.0018282178654212,1.0027002590503884
27,1,"high SEP, low edu",0.45,0.91,0.41,27,1.0070146583170785,1.0956401053995273,1.1134301061450629,40-60,0-20,40-60,1.0019712032021837,1.0028343705566811
37,1,"high SEP, low edu",0.45,0.93,0.42,37,1.0069520120012805,1.3768817735080785,0.8132091044489602,40-60,80-100,0-20,1.002359090682335,1.0024914757241306
39,1,"high SEP, low edu",0.45,0.85,0.39,39,1.0068369672030213,1.0726238368712555,1.0710689284927817,40-60,0-20,20-40,1.0022674766391937,1.0026692719200196
45,1,"high SEP, low edu",0.45,0.79,0.36,45,1.0061399666544415,1.1108969001316784,0.9531399077852384,0-20,20-40,0-20,1.0022648851363936,1.0025298974061576
46,1,"high SEP, low edu",0.45,0.79,0.36,46,1.0064043095651714,1.1653290131195235,1.066278374650255,0-20,20-40,20-40,1.0018451611447654,1.002518914789243
50,1,"high SEP, low edu",0.45,0.87,0.4,50,1.0060113644870468,1.187036806231066,0.978142285783441,0-20,40-60,0-20,1.002235208135276,1.0028466107325271
56,1,"high SEP, low edu",0.45,0.94,0.43,56,1.0062330929277816,1.0423351120742332,1.0818788961295236,0-20,0-20,20-40,1.001853508446713,1.0027476433712008
64,1,"high SEP, low edu",0.45,0.94,0.43,64,1.0063958311679273,1.1359477141803451,1.121718743000144,0-20,20-40,40-60,1.0017344059181963,1.0026468229510932
69,1,"high SEP, low edu",0.45,0.84,0.38,69,1.006417624522793,0.9271299652539468,0.8360508867646151,0-20,0-20,0-20,1.0022986100906648,1.0026515170499994
78,1,"high SEP, low edu",0.45,0.92,0.42,78,1.0068755333213566,1.005410349853368,1.080482163841789,40-60,0-20,20-40,1.002304389898761,1.002944100688555
80,1,"high SEP, low edu",0.45,0.84,0.38,80,1.0070552061347016,0.9495262021868278,0.9125212330198234,40-60,0-20,0-20,1.001672299168748,1.002498509013868
84,1,"high SEP, low edu",0.45,0.85,0.39,84,1.006617023937627,1.112415131003012,1.098883167861504,20-40,20-40,40-60,1.001742095321993,1.0027900578086646
92,1,"high SEP, low edu",0.45,0.86,0.39,92,1.0068944337480918,0.90837212466162,1.022595071546962,40-60,0-20,20-40,1.0018409297636086,1.0027678547711174
95,1,"high SEP, low edu",0.45,0.84,0.38,95,1.0064442087522845,1.1059440784922838,1.1492513214685374,0-20,20-40,40-60,1.001913907998117,1.0026499460902727
