comb,epi_tail,"AR_0-14, low SEP, low edu","AR_0-14, high SEP, low edu","AR_15-24, low SEP, low edu","AR_15-24, low SEP, high edu","AR_15-24, high SEP, low edu","AR_15-24, high SEP, high edu","AR_25-64, low SEP, low edu","AR_25-64, low SEP, high edu","AR_25-64, high SEP, low edu","AR_25-64, high SEP, high edu","AR_65+, low SEP, low edu","AR_65+, low SEP, high edu","AR_65+, high SEP, low edu","AR_65+, high SEP, high edu",AR_overall,AR_0-14,AR_15-24,AR_25-64,AR_65+
0,0.6389382880791549,46.4251257653618,46.40669836485767,74.21792157470573,89.3814411622459,67.26958890138722,67.11550560114753,54.91750601712956,60.30060892614287,56.477343143963154,56.54764741471726,45.633385170924846,50.27587787772155,41.454213423285815,54.89934100123974,54.3777801060244,46.41245183390265,69.93226440790782,56.62182295676102,45.87693546524896
1,0.6293268813445165,46.3592500354641,46.311227212986466,75.15312035913989,88.71963336558063,66.48234391773201,68.29146060990129,55.4662586451434,61.130621997788225,55.666794538891295,56.49004436643991,44.96375335903468,50.98465240411426,41.420997133317975,55.08304459731317,54.26822699293508,46.32622107077536,69.77235621465455,56.512103459580125,45.77625597800156
2,0.6503032536815306,46.90417505524033,46.00269165856178,74.46889844755415,89.81652324413935,66.62098950619303,69.04422394646045,55.969580159135,60.45017551165365,55.955761710382795,56.03526490745672,43.75398462830033,50.52664566841644,41.58206715688843,55.95983547063795,54.224117497514186,46.284156036361345,69.72951775222243,56.47918052402636,45.69743591010077
3,0.6110257453062822,46.81153368185186,46.07083308727602,74.40926292909893,89.75774762642716,66.9144942625497,66.89952307430737,55.381289916566736,61.50191225463762,55.78364211104779,56.22073545505016,43.54321441418662,50.59189839908701,42.07460944102855,55.34522522508567,54.24478410597296,46.30209728221981,69.7673593537995,56.48489325938084,45.75449236765546
4,0.6813575088586274,46.66174882632263,46.010701202787956,74.96607115306101,89.74593349749527,66.45803661685254,66.44174068396919,55.031847085352254,60.12872879321819,56.068441747201746,56.32614814044097,43.94638833548008,51.0045604733283,41.584147888241766,55.314167730484264,54.15091349877997,46.21397362572024,69.6232357024285,56.404049109642486,45.64498226888893
5,0.6308513811512793,46.513977734611935,46.267768937300886,74.36485694249197,89.65027252026893,67.04481971385334,67.06929189017934,55.69959110972651,60.949330958584405,55.87097023705839,56.30344178016655,43.40080113065397,52.10242985393915,42.3838212651414,54.66860987595281,54.30540223722706,46.344641130620545,69.84162367142099,56.54472645260103,45.82433484240042
6,0.6317742138351021,46.58471545221932,46.3073077750487,75.05546197874587,88.72801755264138,66.82404628691988,67.08806866779712,55.08508165648153,60.88052560248011,56.18861042238259,56.48570114022112,44.09725749604744,50.76601416424853,42.18234124261027,54.91110883538694,54.35308143110595,46.39392099448162,69.88514841602218,56.59428926627554,45.86749907316575
7,0.6690042796572697,46.437459619644244,46.151906918289946,73.99774815322911,90.27988037131183,66.92564156681576,67.64531907634819,54.72414135273479,60.29717204599339,56.28531029048284,56.33034984736788,43.70513017957522,50.07694436234401,42.07083874366634,55.09893538452628,54.196902571746044,46.24106320637224,69.710104828507,56.44151819826898,45.70883363222314
8,0.6398268980998242,46.54823784493897,46.26927731028173,74.49821914683369,89.4518177807814,67.02727671926287,66.87546368601437,54.845281184231666,60.50982243438159,56.78816811515983,56.03161087705597,44.82993901474842,50.99856063604737,41.468396854441515,55.29596256600741,54.31555817437515,46.35637536844589,69.85352960319373,56.56264986178213,45.80980490727389
9,0.6611276206010624,46.35002173742631,46.32373063666961,74.2713664558379,89.9404141792006,66.86215924822312,68.59661614675474,55.65289817662425,60.055102522622526,55.91990396597313,56.546533181255185,44.52185870419916,50.084605765763634,41.95249935820765,54.861148766471125,54.29313560911625,46.33193933839769,69.79759808260948,56.53877013429174,45.81094842613009
10,0.6282391510483714,46.93340346297013,46.171881906807585,74.55837352115803,89.20487101933055,67.02572534497953,67.91720377194338,54.78766101093085,60.698228404060934,56.4976471546714,56.464353426435046,44.00250256946408,49.19148584231029,42.44937189457957,55.05681978313815,54.37867516014424,46.409646897018135,69.92390105150827,56.618972424594176,45.8965005498498
11,0.6125712765323208,46.55254506788607,46.25860305089147,74.25874644140882,89.19526189434657,67.03844542169531,68.25234086190193,55.276724277350546,61.22557636174435,56.69363658219716,55.571707218630934,43.83386603304878,50.41559009884136,40.98178032946376,57.16854126497314,54.27283239708555,46.350378681177475,69.86218917726013,56.53195933908446,45.6761297052651
12,0.6392336071792473,46.67894504575199,46.239432327223945,74.72093723200837,89.27305741033103,66.84826748952432,67.77958082375902,55.26224720555457,60.36540485855278,56.0550816882864,56.629551428464694,44.125536702748455,51.13086532921292,41.80321730304413,55.336069911607744,54.32479266463163,46.37665856379278,69.85626504848567,56.57422913960238,45.80701683841086
13,0.6497766094795024,46.57791729274788,46.09098534999876,73.60613788635641,90.18124578922694,67.25023576817821,66.56003729941895,55.26281897141979,60.99202474927518,55.9496771849471,56.11508534811654,44.41968020329684,50.45930092322899,41.35145414446296,55.56742060419295,54.1845941889287,46.24301698674502,69.72914538665184,56.42837274538782,45.671144823324646
14,0.6505100890006973,46.250114357556704,46.11547147313732,74.95985880301885,89.5452890925134,66.26401656923488,67.52276997492086,54.771294127283255,61.66659877872571,55.86127327030098,55.991573818525424,44.737604249926434,51.085784325397675,41.285791001271534,54.93923260210339,54.09447893535873,46.15751015718616,69.55854283275927,56.334216430646244,45.631792285465245
15,0.6225021411108291,46.54328043322631,46.167400394126695,75.02128382958668,89.04243362731484,66.4518489375912,68.63522898468148,55.28730735344948,61.480999835511334,56.23033642520843,55.816551831569,43.75716487905731,50.37183015211027,42.18805861410387,55.04090452000851,54.244452468282056,46.28475900741037,69.74334991334841,56.48286901581216,45.78496264134437
16,0.6485283742318781,46.489060127636826,46.0891727162193,75.00617692134409,89.50446901545739,66.24980286938421,68.51158313162347,55.04192437172464,60.80930494593723,56.5580778455755,55.616361879048505,45.39142959952962,50.96270289051754,40.707216470555,55.58618675609378,54.15394314616333,46.214026997351056,69.61964563895297,56.408719533106954,45.649098999522494
17,0.6314462566092915,46.60437119787025,46.29384903804846,74.0093484711902,89.50633118479149,67.21654160800865,68.61434779658164,55.74487104298199,60.684168676016945,56.19182223192219,56.20606455222615,43.95654083439695,51.78346539282323,42.130532971959816,54.89617873535141,54.363106910991426,46.39080137996539,69.92803925373687,56.60404145967982,45.871210648408116
18,0.7211766067121826,46.19927958538623,45.83891289419684,74.19065597812646,90.61662736363014,66.28808965493846,66.57926956097185,55.422315173318395,60.349749373357746,55.4488331981872,55.84262358770034,43.81627056386835,50.971073118700396,40.857647519984546,55.71511252256286,53.86450242582946,45.95142787438286,69.32070116172704,56.11757412797511,45.34857708210772
19,0.6411666137548818,46.83213858897337,46.11179588570444,75.02929246940435,89.09921929675598,66.56036377878894,68.33011976416462,55.2121819256679,60.57146969328826,56.37695195340877,56.1549644210831,43.82786346188003,50.882130654197894,41.773796966334594,55.65726709760404,54.28458939493904,46.33670386684427,69.79669367789143,56.53716798114605,45.76777488433278
20,0.6635631686908271,46.42705111046915,46.186308151373964,73.94118235839882,89.96851125945417,67.03648993577366,67.33484376726865,55.04210493443428,60.59029497862729,56.14187303478122,56.21175653367243,44.27585192791741,50.45288852376741,41.0057419905714,56.30878123672516,54.187153316885826,46.26147378109162,69.73523514712599,56.44314824667143,45.62394018539549
21,0.6378104044627784,46.827722757636764,46.18001306972908,74.74961300677782,89.31496891893434,66.7671531966503,68.41946168774005,55.42030691521557,60.47391212395359,56.31809175647287,56.27120037944797,44.41177005343462,50.11518859445712,41.6781629116734,55.64769377600092,54.33377016672386,46.382243310433886,69.85286415562051,56.58573074863752,45.817899622397256
22,0.5998935934509919,46.83395680589136,46.16242997425394,73.97435619781876,89.61484144256337,67.21362750113471,68.18744409807249,55.96171357321365,61.763918610946426,56.17180607731483,55.67188614868741,44.30243196592511,50.94732405138652,41.95373438663002,55.13351791363519,54.339075955428044,46.37209648895509,69.8941474491496,56.572799292780864,45.86913456591876
23,0.6907094044576793,46.70622356194552,45.917140408429205,75.5983315239508,88.95928025419411,65.95321286437589,67.77585409547471,55.08959548296621,60.2010494439191,56.57309801673502,55.64063593403208,44.12021645771943,49.76524232600954,41.63971313009739,55.33317170652844,54.113035697695764,46.16351077936992,69.55389283860933,56.36478638950497,45.63767262216405
24,0.6126252450163892,46.942712938855095,46.16299876829873,74.41316074204084,89.2863194417052,67.10566775445403,67.40801705415815,55.73694108320119,61.276507998125716,55.782855679423875,56.425220905586094,44.83582745839196,50.23258669021197,41.72564375470935,55.21389922537608,54.35891029820953,46.406443921793226,69.90306614252216,56.59870650498037,45.865760430064626
25,0.8038829072709648,45.88025599259799,45.487311803535356,74.47014554424881,90.81557819407952,65.4630531700025,66.57741721919291,54.74813622868764,59.72614318322812,55.55767001257132,55.28118945502849,42.825766314270034,49.87057875979495,40.685435153177664,55.97616023155409,53.506554864534046,45.609998246893014,68.8988937322775,55.76441924826965,44.99762284014962
