ratio_egv_max,list_ass_sep_trace,list_ass_edu_trace,ratio_egv_max_quant,list_ass_sep_trace_quant,list_ass_edu_trace_quant,list_eigv_ratio_keep_sep,list_eigv_ratio_keep_edu
1.006345513279697,1.2099466089907855,1.3127090833674615,0-20,40-60,80-100,1.0021024071137727,1.0027761110161906
1.006849782947294,1.2329924806532238,1.2330996573128463,40-60,60-80,60-80,1.0027145301103961,1.0028739581923607
1.006991710014845,1.10331266457512,1.2054838697665398,40-60,20-40,60-80,1.0023330645724313,1.0029695163043022
1.0069818249002878,1.1116444284118687,1.1953758461906443,40-60,20-40,60-80,1.0019200986745196,1.0028730487725328
1.007389632917154,1.3107281231662815,1.3007570685748555,60-80,80-100,80-100,1.0025677247836267,1.0030015045911518
1.0065692749741764,1.2182992951776683,1.23418690956897,20-40,40-60,60-80,1.0018838213887253,1.0028851064945985
1.0064840300376496,1.4166643733480944,1.271807888176257,20-40,80-100,80-100,1.00259236547122,1.0028326873779043
1.00700174878304,1.28537406383395,1.038376092082415,40-60,60-80,20-40,1.0017264905886567,1.0027095104867871
1.0066188995768175,1.2147852157815615,1.232897795091613,20-40,40-60,60-80,1.001940269653447,1.0028044637980147
1.006708027539821,0.9952411602152014,1.213375367912183,20-40,0-20,60-80,1.0017401477425525,1.0026292588404038
1.0063087224836935,1.0586621752092973,0.9028226412466732,0-20,0-20,0-20,1.0020340313141065,1.0026009217591196
1.0067859108846204,1.4005002430460878,1.142906327710681,20-40,80-100,40-60,1.0016840727097427,1.0029904999440864
1.006647466315718,1.1752131430011978,1.110573321279167,20-40,40-60,40-60,1.0019827793734257,1.0028418646228316
1.0071792423102457,1.0282052597583131,0.9691228436757388,60-80,0-20,0-20,1.0017679629776182,1.0028554074494846
1.0073534988859054,1.1827883844945828,0.9928296308304284,60-80,40-60,0-20,1.0028276240038687,1.002675214430443
1.0067437423378738,1.1146155321985298,1.1291118936081552,20-40,20-40,40-60,1.0024552617788454,1.0026829349484878
1.0070313042702077,1.0894790417871354,0.91301548013798,40-60,0-20,0-20,1.002584558218563,1.0026823846211577
1.0061898317594495,1.205086419164915,1.180634046052503,0-20,40-60,60-80,1.0017973893319172,1.002869339450268
1.0084018452383927,1.3456332871644356,1.1455319541184197,80-100,80-100,40-60,1.002222394121336,1.0030748913420013
1.006700355307437,1.2138988705935811,1.1256441532832295,20-40,40-60,40-60,1.0022452992134958,1.0028173998716763
1.00719877050261,1.3327869880560954,1.0975812815714583,60-80,80-100,40-60,1.0018621792296754,1.0028972251659327
1.0065721900275173,1.010008847634819,0.8633034408273852,20-40,0-20,0-20,1.0020572909302567,1.0026653208379652
1.006350685926357,1.139546066252017,1.0956180776946804,0-20,20-40,40-60,1.0018282178654212,1.0027002590503884
1.0071035238676134,1.321416763564751,1.2160342152289012,40-60,80-100,60-80,1.0027740409264037,1.0027047190497214
1.006628900001087,1.2150237264040964,1.2221893854099843,20-40,40-60,60-80,1.0018308387491444,1.0027036365965798
1.0094071989002713,1.258047860969399,1.0626720161435264,80-100,60-80,20-40,1.0028293627976352,1.0030839192182008
1.0068958356107691,1.2825473476303395,1.3165352612983643,40-60,60-80,80-100,1.001733255285982,1.0029606412586414
1.0070146583170785,1.0956401053995273,1.1134301061450629,40-60,0-20,40-60,1.0019712032021835,1.0028343705566813
1.0094347600843476,1.3176227305777348,1.2267355034390477,80-100,80-100,60-80,1.003404389455481,1.0030445033284334
1.0067694825084788,1.322118871803128,1.1318363537390823,20-40,80-100,40-60,1.0018946319317283,1.0032184130596298
1.0073463971731764,1.1557888672307497,1.246376821703596,60-80,20-40,80-100,1.0017134721965932,1.0027920641682484
1.0067730996277875,1.1583196854960185,1.1415659846062498,20-40,20-40,40-60,1.0020287383498467,1.0025746026884121
1.007972327962397,1.4601063976392827,1.0321676335603196,80-100,80-100,20-40,1.0030575960843766,1.0029628770104675
1.0073396033141548,1.1928106369849794,1.0861125587396163,60-80,40-60,20-40,1.0019808200550975,1.0025227897739164
1.007063341254772,1.2962171746993132,1.208442413440029,40-60,80-100,60-80,1.0026260639174398,1.002783359507758
1.0062314187924717,1.2950212145555642,1.2537298674000148,0-20,80-100,80-100,1.001700841291313,1.0029030703674895
1.0074986504472194,1.0963753982651911,1.0830117256013536,60-80,0-20,20-40,1.0027492849422044,1.0028032288972968
1.0069520120012805,1.3768817735080785,0.8132091044489602,40-60,80-100,0-20,1.002359090682335,1.0024914757241306
1.0080186322918645,1.1821081739035306,1.1027988534311854,80-100,40-60,40-60,1.0023934266345267,1.0027214395444901
1.0068369672030213,1.0726238368712555,1.0710689284927817,40-60,0-20,20-40,1.0022674766391937,1.0026692719200196
1.0073633100791994,1.2242539439391975,1.1371077387914996,60-80,40-60,40-60,1.0024210605750816,1.0025810358194702
1.0072017131745743,1.452864629923392,0.8759200647185473,60-80,80-100,0-20,1.0024592241854713,1.0028370308789911
1.0082438791316932,1.443290186174303,0.9298628515075322,80-100,80-100,0-20,1.0028360310151705,1.0028963308770817
1.0069706917778198,1.3618272139565426,1.2647273011533202,40-60,80-100,80-100,1.0028555492849665,1.0027091205361227
1.0079612084279368,1.2339469749856582,1.0689189369424792,80-100,60-80,20-40,1.0025657796949201,1.002698350861936
1.0061399666544415,1.1108969001316784,0.9531399077852384,0-20,20-40,0-20,1.0022648851363936,1.0025298974061576
1.0064043095651714,1.1653290131195235,1.066278374650255,0-20,20-40,20-40,1.0018451611447654,1.002518914789243
1.0083287881899126,1.0587459172398492,1.3397015825392842,80-100,0-20,80-100,1.0025053050446102,1.0029941632381552
1.0082975149404207,1.285519654895189,0.8999371475037515,80-100,60-80,0-20,1.0027517659702634,1.0026690139913539
1.007205690561713,1.37006865852913,1.2178577602199605,60-80,80-100,60-80,1.0024027231107306,1.00277594295099
1.0060113644870468,1.187036806231066,0.978142285783441,0-20,40-60,0-20,1.0022352081352761,1.0028466107325273
1.0079437852179567,1.3686571778354724,1.2382163078115371,80-100,80-100,60-80,1.0031086291773248,1.0027116308138675
1.0073489546543524,1.1730825488152117,1.0325220935308597,60-80,40-60,20-40,1.0027642312486322,1.0025554193435198
1.005987700244301,1.109563117624695,1.2567911517948416,0-20,20-40,80-100,1.0018555713669273,1.002694873285687
1.0079626792392686,1.364845399233666,1.0453970752262745,80-100,80-100,20-40,1.0019680611219595,1.0027444991072607
1.0063407894920056,1.075625576391558,1.2794874356843935,0-20,0-20,80-100,1.001645612781919,1.0027895992690532
